Time_step, Success_rate, Collision_rate, Average_navigation_time, Total_reward, Frequency_of_in_danger, Average_min_seperating_dist_in_danger, Average_loss, Training_time (seconds)
0.1, 0.2000, 0.4000, 13.0750, -0.1078, 13.7010, 0.0513, 0.0002, 161.46
0.15, 0.3500, 0.4500, 12.1286, -0.0072, 6.6895, 0.1125, 0.0019, 63.52
0.2, 0.5000, 0.3000, 13.3400, 0.0279, 5.4141, 0.1122, 0.0009, 55.04
0.25, 0.7500, 0.2500, 11.0167, 0.1649, 2.6737, 0.1030, 0.0077, 38.29
0.3, 0.6000, 0.2500, 11.9500, 0.1091, 3.5842, 0.1628, 0.0012, 34.34
0.35, 0.1000, 0.1500, 10.1500, 0.0003, 0.2929, 0.1537, 0.0248, 46.01
0.4, 0.0500, 0.0000, 11.2000, 0.0142, 0.0309, 0.1443, 0.0026, 25.59
0.45, 0.7000, 0.2500, 10.6714, 0.1204, 1.8773, 0.1297, 0.0023, 21.24
0.5, 0.7500, 0.1000, 11.1333, 0.2120, 1.0931, 0.1790, 0.0314, 20.64
0.55, 0.7500, 0.2500, 11.4767, 0.1328, 0.9230, 0.1144, 0.0079, 19.09
0.6, 0.8500, 0.1500, 11.7882, 0.2250, 0.4112, 0.1552, 0.0007, 19.33
0.65, 0.9000, 0.0500, 11.5194, 0.2547, 0.6088, 0.1574, 0.0013, 20.44
0.7, 0.9000, 0.1000, 10.8500, 0.2526, 0.4964, 0.1366, 0.0205, 13.56
0.75, 0.8500, 0.1000, 11.9118, 0.2106, 0.3643, 0.1493, 0.0020, 13.38
0.8, 0.9000, 0.1000, 12.0444, 0.2264, 0.2741, 0.1394, 0.0160, 11.77
0.85, 1.0000, 0.0000, 11.5600, 0.2801, 0.3104, 0.1281, 0.0128, 12.15
0.9, 0.9500, 0.0500, 10.8474, 0.2871, 0.2902, 0.1452, 0.0043, 12.29
0.95, 0.7000, 0.3000, 10.9929, 0.1639, 0.1903, 0.1303, 0.0044, 10.89
